neighborhood,neighborhood latitude,neighborhood longitude,venue id,venue,venue latitude,venue longitude,venue distance,venue category
Schöneberg,52.482157,13.3551901,52a3125911d29342584e69ab,H Leuthener Str,52.481284729139,13.361305754018527,425,Bus Stop
Schöneberg,52.482157,13.3551901,4d728ef727ddb60c7cd6cf1b,H Dominicusstraße / Hauptstraße,52.48202042432927,13.348754962273077,436,Bus Stop
Schöneberg,52.482157,13.3551901,4e468faf62845e1d3c929e43,EDEKA Siegler,52.485690227097294,13.357351831225914,419,Supermarket
Schöneberg,52.482157,13.3551901,4c47359d19fde21ec5970776,Lidl,52.482735245068035,13.350885966692658,298,Supermarket
Schöneberg,52.482157,13.3551901,4d0ca4ebeea9b60c4c81593f,go asia 東 Asien Supermarkt,52.484590063906275,13.353677988052368,289,Grocery Store
Schöneberg,52.482157,13.3551901,56a1edff498e305a2de36a73,REWE,52.485589691910974,13.355834484100342,384,Supermarket
Schöneberg,52.482157,13.3551901,57a99174498ed72e28a8d6dc,PENNY,52.480999809209926,13.350384807544076,350,Supermarket
Schöneberg,52.482157,13.3551901,4efdcfc3f9abd5b38e900ce9,ALDI NORD,52.48574249492997,13.357293417107774,423,Supermarket
Schöneberg,52.482157,13.3551901,508e5cbbe4b0578946aff84b,Dominikus Apotheke,52.48057522163119,13.351608090958775,299,Pharmacy
Schöneberg,52.482157,13.3551901,50546ab9e4b021c8a7beb7ce,Feurig-Apotheke,52.484624744184394,13.353304232808862,302,Pharmacy
Schöneberg,52.482157,13.3551901,4dd7ca771838b8561cef5b4e,Kaiser-Wilhelm-Apotheke,52.4862566615021,13.356362220791858,463,Pharmacy
Schöneberg,52.482157,13.3551901,522d7a6911d23283e4446f04,Vertrebal,52.4826202324354,13.349489710507997,389,Pharmacy
Schöneberg,52.482157,13.3551901,4e288ea5315171a3be0eba00,Apotheke zur Post,52.48583796201142,13.355212211608887,409,Pharmacy
Rudow,52.4146801,13.4986183,4cb5e3103ac93704699ccf0a,REWE,52.41296779792083,13.493099340314078,420,Supermarket
Rudow,52.4146801,13.4986183,4bb72ac6941ad13a645620e3,dm-drogerie markt,52.415859376864724,13.495213858813713,265,Drugstore
Rudow,52.4146801,13.4986183,4f43d2aae4b0f752a2bcfc52,China Town,52.4164475715646,13.497169819093996,219,Chinese Restaurant
Rudow,52.4146801,13.4986183,4e7394ccc65bf4cd6220320d,"Gaststätte ""Zum alten Krug""",52.417615577062165,13.495867252349854,376,German Restaurant
Rudow,52.4146801,13.4986183,4f26b498e4b0eec700638c31,Bäcker Wiedemann,52.41798892277759,13.495604900143594,421,Bakery
Rudow,52.4146801,13.4986183,4c63c455fa7bc928c3581127,Deutsche Bank Filiale,52.418544165123755,13.49688574909112,445,Bank
Rudow,52.4146801,13.4986183,4cb5e3103ac93704699ccf0a,REWE,52.41296779792083,13.493099340314078,420,Supermarket
Rudow,52.4146801,13.4986183,4c655c9e94160f477d232f17,EDEKA Alt-Rudow,52.41625949,13.49666583,220,Supermarket
Rudow,52.4146801,13.4986183,57a389d8498e325aae5b594e,REWE,52.41724973,13.49588624,340,Supermarket
Rudow,52.4146801,13.4986183,539adcdb498eda0a5f895b04,condor Apotheke,52.415528,13.496734,158,Pharmacy
Rudow,52.4146801,13.4986183,50e5b464e4b06c5097d71085,Kloster Apotheke,52.416887500459886,13.496634924333293,280,Pharmacy
Rudow,52.4146801,13.4986183,4c8f6638a8de224bf0fc2e01,U Rudow,52.41609150488302,13.495609096640159,257,Metro Station
Gropiusstadt,52.4249493,13.466183,4fcf61183ac6d9ec99037420,Lidl,52.42628981354319,13.464439362232952,190,Supermarket
Gropiusstadt,52.4249493,13.466183,4f3d1211e4b0f8d7e6fc075f,Lipschitzplatz,52.425981089056165,13.461136167767005,361,Plaza
Gropiusstadt,52.4249493,13.466183,5151d12fe4b0873d63be3d9c,Cafe Happiness,52.42509330584653,13.46311774557393,208,Café
Gropiusstadt,52.4249493,13.466183,4b0da8e4f964a5205f4d23e3,U Lipschitzallee,52.42490242617148,13.462615356947808,242,Metro Station
Gropiusstadt,52.4249493,13.466183,5140b7f2e4b0f02c7a60be12,Bereket Market,52.42579735614634,13.462723663114529,253,Grocery Store
Gropiusstadt,52.4249493,13.466183,4f74dbffe4b08bc8e4aea468,Atrium,52.42656717656626,13.463035150010063,279,Restaurant
Gropiusstadt,52.4249493,13.466183,4c11df2dd5599521ab5418b9,Kombibad Gropiusstadt,52.42776997194408,13.469688892364502,393,Pool
Gropiusstadt,52.4249493,13.466183,4f6495cee4b098610af118b8,Berliner Mauerweg | Kölner Damm,52.420586241289904,13.465418815612793,488,Trail
Gropiusstadt,52.4249493,13.466183,4fcf61183ac6d9ec99037420,Lidl,52.42628981354319,13.464439362232952,190,Supermarket
Gropiusstadt,52.4249493,13.466183,5c7ea4dc1b0ea5002c77f16d,Centrum-Apotheke,52.4253669,13.4629917,221,Pharmacy
Gropiusstadt,52.4249493,13.466183,4b0da8e4f964a5205f4d23e3,U Lipschitzallee,52.42490242617148,13.462615356947808,242,Metro Station
Mitte,52.5176896,13.4023757,4adcda7cf964a5205f4721e3,Lustgarten,52.518469490131785,13.399454063404399,216,Garden
Mitte,52.5176896,13.4023757,4b24db17f964a5202f6a24e3,Radisson Blu,52.5196232,13.4024883,215,Hotel
Mitte,52.5176896,13.4023757,51838de5498e3fca634679a8,Kuppelumgang Berliner Dom,52.51896599010725,13.400980681715229,170,Scenic Lookout
Mitte,52.5176896,13.4023757,507faaf3f31c44e07e35b2e6,Atrium Lobby Lounge & Bar,52.519596959299655,13.40277435240641,214,Hotel Bar
Mitte,52.5176896,13.4023757,4ae9c897f964a52062b621e3,DDR Museum,52.51940384308041,13.40223855826597,191,History Museum
Mitte,52.5176896,13.4023757,4f42de33e4b0a2bdc6c470ce,Designpanoptikum - surreales Museum für industrielle Objekte,52.516941,13.406072,263,Museum
Mitte,52.5176896,13.4023757,4ba1fd92f964a5202bd537e3,Pylones,52.51947169213843,13.403327111066638,208,Gift Shop
Mitte,52.5176896,13.4023757,4e50ee55483bb7704924391a,"Bronzestatue ""Heiliger St. Georg im Kampf mit dem Drachen""",52.51629022223086,13.405557792008159,265,Outdoor Sculpture
Mitte,52.5176896,13.4023757,4adcda81f964a520574821e3,Altes Museum,52.51953741567019,13.398803472518921,317,History Museum
Mitte,52.5176896,13.4023757,4adcda83f964a520aa4821e3,Deutsches Historisches Museum,52.5177881130353,13.39694770969441,367,History Museum
Mitte,52.5176896,13.4023757,4adcda7df964a5206f4721e3,Nikolaiviertel,52.51674970096518,13.407193422317505,342,Neighborhood
Mitte,52.5176896,13.4023757,4d32fd98c6cba35d3b94267a,Julchen Hoppe,52.517396793480906,13.404751382677345,164,German Restaurant
Mitte,52.5176896,13.4023757,4ee917afd5fb86321f2b0297,Tigertörtchen,52.51714999915386,13.407926093359984,380,Cupcake Shop
Mitte,52.5176896,13.4023757,4c3caf727c1ee21e63ea8c71,Buchhandlung Walther König,52.52130069676686,13.40075831891714,416,Bookstore
Mitte,52.5176896,13.4023757,4b28d68cf964a520969524e3,Block House,52.520469296385464,13.405277522085193,366,Steakhouse
Mitte,52.5176896,13.4023757,4fb51c29e4b0719cde34a216,Nikolaikirchplatz,52.51670039311001,13.406839179328845,321,Plaza
Mitte,52.5176896,13.4023757,4adcda83f964a520b24821e3,Neues Museum,52.5201576091737,13.39783787727356,412,History Museum
Mitte,52.5176896,13.4023757,4adcda7cf964a520594721e3,Alte Nationalgalerie,52.520796016677,13.398673088379343,427,Art Museum
Mitte,52.5176896,13.4023757,528c91cc11d2f34bf9689cb5,Ischtar-Tor,52.520741776446705,13.397204678584995,487,Historic Site
Mitte,52.5176896,13.4023757,55509010498e1ed2ce2d90f0,Waffel oder Becher,52.521006850678695,13.403814748185349,381,Ice Cream Shop
Mitte,52.5176896,13.4023757,4d34488a2c76a143335383c7,Neptunbrunnen,52.51953850001971,13.4069248448423,370,Fountain
Mitte,52.5176896,13.4023757,57018779498e52f43091af88,Pierre Boulez Saal,52.51533292570581,13.396217823028564,492,Concert Hall
Mitte,52.5176896,13.4023757,4adcda8df964a5205f4a21e3,Gorki Studio Я,52.519065039408694,13.396361653591418,435,Theater
Mitte,52.5176896,13.4023757,584c882dd702824c51e2be9a,Balthazar,52.515913,13.40616,323,Restaurant
Mitte,52.5176896,13.4023757,4dbc1fa1a86e0e98a1daa36d,Schinkel Pavillion,52.51616321966491,13.396857047689211,410,Art Gallery
Mitte,52.5176896,13.4023757,4af7ed56f964a520880a22e3,ARCOTEL John F Berlin,52.515108331081294,13.397984175288698,413,Hotel
Mitte,52.5176896,13.4023757,5941402b1cf2e108a4088f63,Capri By Fraser Berlin,52.513971925223146,13.404901686415545,447,Hotel
Mitte,52.5176896,13.4023757,4c6fb1f4fa49a1cd4eb3a3e3,Nikolaikirche,52.516847,13.407586,365,Museum
Mitte,52.5176896,13.4023757,4ae9613af964a520c9b421e3,Hauptstadtrepräsentanz Deutsche Telekom,52.51509906760865,13.396601336907471,485,Event Space
Mitte,52.5176896,13.4023757,4adcda80f964a520394821e3,Friedrichswerdersche Kirche,52.51547790837414,13.39779611116987,396,Art Museum
Mitte,52.5176896,13.4023757,4ce90079baa6a1cd5a6f316c,Ephraim-Palais,52.515856,13.407191,384,Museum
Mitte,52.5176896,13.4023757,4be53d3e2468c92885cfff42,Titus,52.52094968439927,13.405920731515282,435,Board Shop
Mitte,52.5176896,13.4023757,519a2d62498ebfecbf8e51c6,Zille Museum,52.51648201881731,13.406426310539246,305,Art Museum
Mitte,52.5176896,13.4023757,4af75e37f964a520c80822e3,Mutter Hoppe,52.51753315153868,13.405841588973999,235,Inn
Mitte,52.5176896,13.4023757,4f96fb2b6d86c297eee02f51,Bonne Vie Café,52.51728735859492,13.407735366427183,365,Café
Mitte,52.5176896,13.4023757,4b96b3c0f964a520fdde34e3,Zur Gerichtslaube,52.51711820108978,13.406094083366526,259,German Restaurant
Mitte,52.5176896,13.4023757,4bc769782f94d13a71e0117f,Chipps,52.514473967038725,13.397836848291707,471,Vegetarian / Vegan Restaurant
Mitte,52.5176896,13.4023757,546c9282498e4176e6ff63d0,dean&david,52.52068312833944,13.405486059782808,394,Salad Place
Mitte,52.5176896,13.4023757,5b7520c32a7ab6002c44ef58,Nineties Berlin,52.51611056582189,13.409058786149169,485,Exhibit
Mitte,52.5176896,13.4023757,5babbd2225ecca002caf1ae1,PalaisPopulaire,52.517124,13.396176,424,Art Gallery
Mitte,52.5176896,13.4023757,4ba00d3df964a520d65537e3,Brauhaus GeorgBraeu,52.51633857288862,13.40556477080612,263,Brewery
Mitte,52.5176896,13.4023757,54cf67d2498e263faaccf60d,Ishin,52.521749194291836,13.403632140400594,459,Japanese Restaurant
Mitte,52.5176896,13.4023757,51a0a496498e210b5f81f44b,Café-Haus Koch Berlin,52.52082609237831,13.405733577027748,416,Café
Mitte,52.5176896,13.4023757,59bd09ec82a750065323561a,Ngon Restaurant Berlin,52.51746378408284,13.405124098062515,187,Vietnamese Restaurant
Mitte,52.5176896,13.4023757,4adcda79f964a520784621e3,Zum Nußbaum,52.517110542354686,13.40722078197473,334,German Restaurant
Mitte,52.5176896,13.4023757,4d8a63e86ce6a35de9a25f42,Zur Rippe,52.51615852380631,13.408066740007344,421,German Restaurant
Mitte,52.5176896,13.4023757,4c19155b4ff90f47df630f49,Zille-Stube,52.51602234437307,13.405991792678831,307,German Restaurant
Mitte,52.5176896,13.4023757,4b2f6651f964a5202deb24e3,Piazza Rossa,52.51887151395141,13.409092426300049,473,Italian Restaurant
Mitte,52.5176896,13.4023757,4bceded9937ca593ef1aaf92,Altberliner Weißbierstube,52.517625,13.405992,245,German Restaurant
Mitte,52.5176896,13.4023757,4c7b8b3f794e224b3b806b28,Mia,52.51652843737904,13.404955054032405,217,Breakfast Spot
Mitte,52.5176896,13.4023757,5a48a7be75eee46f19ff83bd,Kaffee Karamell,52.51419708479862,13.405519796740581,443,Café
Mitte,52.5176896,13.4023757,5272b402498ec28b7226fa1d,Hotel Nikolai Residence,52.517283118937655,13.406423156887511,277,Hotel
Mitte,52.5176896,13.4023757,563918bccd10e5221f1d9ee2,Spreewerkstätten,52.515543774010546,13.40858726680379,483,Concert Hall
Mitte,52.5176896,13.4023757,4adcda81f964a5205f4821e3,Knoblauchhaus,52.51648958748333,13.4069541812259,337,Museum
Mitte,52.5176896,13.4023757,4f6df5f2e4b08610771271c9,KugelEi-Café,52.516566,13.406955,334,Café
Mitte,52.5176896,13.4023757,4e7f28d36c258cabb8f98e54,Kaskadenbrunnen am Fernsehturm,52.52017066578495,13.40806245803833,473,Fountain
Mitte,52.5176896,13.4023757,5485e270498ebb10071123e5,Deiters,52.519048911680436,13.409211446592725,487,Costume Shop
Mitte,52.5176896,13.4023757,53407a76498e4bfbbd0c6a1b,Spreegalerie,52.51559949965273,13.408829291355845,495,Nightclub
Mitte,52.5176896,13.4023757,4e035f796284217c7f126fd4,Apotheke Hackesches Quartier,52.52206564046646,13.402231198133768,487,Pharmacy
Mitte,52.5176896,13.4023757,5c5bcdf89d7468002cf1d7a9,Apotheke Berlin am Hackeschen Markt,52.52218,13.40252,499,Pharmacy
Mitte,52.5176896,13.4023757,56309c2a498e987dca9d4eb6,METRO Accelerator powered by Techstars,52.51544396545003,13.403337900534256,258,Coworking Space
Moabit,52.5301017,13.3425422,4c17c87bfe5a76b0b4120115,Taverna Amphipolis,52.5283773025609,13.341430713623419,206,Taverna
Moabit,52.5301017,13.3425422,50e4847052621298e8ca8f65,Sugar Tapas Bar,52.52987919772112,13.341288500078788,88,Cocktail Bar
Moabit,52.5301017,13.3425422,51fd7012498e32e3a0e1ef94,Tirrée,52.532153741214614,13.341539621589543,238,Café
Moabit,52.5301017,13.3425422,532371c5498e4320e5978dac,George R,52.53024939868373,13.341323381420828,84,Cocktail Bar
Moabit,52.5301017,13.3425422,5765c066498ec6de8e2b735b,KOWSKI,52.527820615830024,13.341444789252778,264,Bar
Moabit,52.5301017,13.3425422,4cd2d60c158c5481963ab1e4,EDEKA Center,52.531949064059525,13.344108123603787,231,Supermarket
Moabit,52.5301017,13.3425422,4c6c19c16af58cfa65d28517,Zum Stammtisch,52.53008628769528,13.340005179533046,171,Pub
Moabit,52.5301017,13.3425422,54a1b5f2498e03eea6180c8a,Trattoria da Luma,52.53169063604642,13.34451839932331,221,Trattoria/Osteria
Moabit,52.5301017,13.3425422,50d448aae4b038b59eaeca5e,Thea & coffee,52.531051148755026,13.34619112126696,268,Café
Moabit,52.5301017,13.3425422,56765ab3498ef8a58e215083,Mercure Hotel MOA Berlin,52.53206164744369,13.344609857734122,259,Hotel
Moabit,52.5301017,13.3425422,54342923498ed6ec05a72716,Wallyard,52.52759272113066,13.345239758491514,333,Hostel
